code,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,borough_flag
E09000001,city of london,1999-12-01,33020,,48922,0,6581,,,,1
E09000002,barking and dagenham,1999-12-01,21480,,23620,3,162444,,,,1
E09000003,barnet,1999-12-01,19568,,23128,8,313469,,,,1
E09000004,bexley,1999-12-01,18621,,21386,18,217458,,,,1
E09000005,brent,1999-12-01,18532,,20911,6,260317,,,,1
E09000006,bromley,1999-12-01,16720,,21293,13,294902,,,,1
E09000007,camden,1999-12-01,23677,,30249,13,190003,,,,1
E09000008,croydon,1999-12-01,19563,,22205,13,332066,,,,1
E09000009,ealing,1999-12-01,20580,,25046,12,302252,,,,1
E09000010,enfield,1999-12-01,19289,,21006,9,272731,,,,1
E09000011,greenwich,1999-12-01,21236,,22263,4,212168,,,,1
E09000012,hackney,1999-12-01,23249,,39629,2,199087,,,,1
E09000013,hammersmith and fulham,1999-12-01,25000,,28555,7,160634,,,,1
E09000014,haringey,1999-12-01,18783,,21683,5,218559,,,,1
E09000015,harrow,1999-12-01,20596,,22824,10,207909,,,,1
E09000016,havering,1999-12-01,17165,,18786,8,225712,,,,1
E09000017,hillingdon,1999-12-01,24002,,28854,11,245053,,,,1
E09000018,hounslow,1999-12-01,20155,,24602,14,214298,,,,1
E09000019,islington,1999-12-01,25113,,34180,2,175717,,,,1
E09000020,kensington and chelsea,1999-12-01,20646,,28074,13,147678,,,,1
E09000021,kingston upon thames,1999-12-01,19302,,22967,18,146003,,,,1
E09000022,lambeth,1999-12-01,23151,,27930,8,266817,,,,1
E09000023,lewisham,1999-12-01,20580,,23283,4,250310,,,,1
E09000024,merton,1999-12-01,18962,,21867,11,185062,,,,1
E09000025,newham,1999-12-01,18862,,20580,3,240517,,,,1
E09000026,redbridge,1999-12-01,19580,,22087,8,238138,,,,1
E09000027,richmond upon thames,1999-12-01,22321,,25832,na,172782,,,,1
E09000028,southwark,1999-12-01,22784,,26994,3,247853,,,,1
E09000029,sutton,1999-12-01,19582,,22725,27,179375,,,,1
E09000030,tower hamlets,1999-12-01,26376,,37524,3,193507,,,,1
E09000031,waltham forest,1999-12-01,18547,,19888,9,221057,,,,1
E09000032,wandsworth,1999-12-01,21321,,24707,7,264220,,,,1
E09000033,westminster,1999-12-01,24447,,36167,7,189233,,,,1
E12000001,north east,1999-12-01,16282,,18351,5,2550314,,,,0
E12000002,north west,1999-12-01,16977,,19609,7,6773115,,,,0
E12000003,yorkshire and the humber,1999-12-01,16527,,18977,7,4956325,,,,0
E12000004,east midlands,1999-12-01,16392,,18864,11,4152443,,,,0
E12000005,west midlands,1999-12-01,17000,,19686,9,5271959,,,,0
E12000006,east,1999-12-01,18000,,20866,14,5338722,,,,0
E12000007,london,1999-12-01,22487,,29640,9,7153912,,,,0
E12000008,south east,1999-12-01,18737,,22361,15,7955124,,,,0
E12000009,south west,1999-12-01,16727,,19203,14,4880958,,,,0
E13000001,inner london,1999-12-01,,,-,,2750716,,,,0
E13000002,outer london,1999-12-01,,,-,,4403196,,,,0
E92000001,england,1999-12-01,17939,,21561,10,49032872,,,,0
K02000001,united kingdom,1999-12-01,17803,,21314,,58684427,,,,0
K03000001,great britain,1999-12-01,17866,,21379,,57005421,,,,0
K04000001,england and wales,1999-12-01,17974,,21549,,51933471,,,,0
N92000002,northern ireland,1999-12-01,15798,,19093,,1679006,,,,0
S92000003,scotland,1999-12-01,16914,,19667,,5071950,,,,0
W92000004,wales,1999-12-01,16457,,18486,,2900599,,,,0
E09000001,city of london,2000-12-01,34903,,52203,0,7014,361000.0,,,1
E09000002,barking and dagenham,2000-12-01,22618,,24696,4,163893,57000.0,,,1
E09000003,barnet,2000-12-01,21761,,25755,8,315784,138000.0,,,1
E09000004,bexley,2000-12-01,19363,,22580,17,218717,76000.0,,,1
E09000005,brent,2000-12-01,22348,,23726,7,264945,122000.0,,,1
E09000006,bromley,2000-12-01,16401,,21178,13,295317,115000.0,,,1
E09000007,camden,2000-12-01,25484,,34864,16,196174,291000.0,,,1
E09000008,croydon,2000-12-01,21339,,23440,12,334241,160000.0,,,1
E09000009,ealing,2000-12-01,22512,,26615,12,304370,134000.0,,,1
E09000010,enfield,2000-12-01,22467,,25198,8,275068,113000.0,,,1
E09000011,greenwich,2000-12-01,22121,,23689,5,214438,84000.0,,,1
E09000012,hackney,2000-12-01,24083,,#,1,203381,102000.0,,,1
E09000013,hammersmith and fulham,2000-12-01,25264,,28742,8,164393,120000.0,,,1
E09000014,haringey,2000-12-01,19772,,#,5,219845,74000.0,,,1
E09000015,harrow,2000-12-01,22238,,24973,11,209114,81000.0,,,1
E09000016,havering,2000-12-01,17418,,19309,6,225141,89000.0,,,1
E09000017,hillingdon,2000-12-01,25038,,29755,13,245911,177000.0,,,1
E09000018,hounslow,2000-12-01,23230,,27632,13,214731,146000.0,,,1
E09000019,islington,2000-12-01,26598,,35135,5,177852,173000.0,,,1
E09000020,kensington and chelsea,2000-12-01,22952,,28782,8,154661,147000.0,,,1
E09000021,kingston upon thames,2000-12-01,20983,,25225,20,147328,85000.0,,,1
E09000022,lambeth,2000-12-01,24264,,28750,9,270028,140000.0,,,1
E09000023,lewisham,2000-12-01,22357,,22659,5,252106,76000.0,,,1
E09000024,merton,2000-12-01,18906,,22987,18,188196,84000.0,,,1
E09000025,newham,2000-12-01,19437,,21609,3,245463,79000.0,,,1
E09000026,redbridge,2000-12-01,20256,,22421,9,239868,83000.0,,,1
E09000027,richmond upon thames,2000-12-01,22574,,27702,15,172920,82000.0,,,1
E09000028,southwark,2000-12-01,24857,,29101,3,252726,182000.0,,,1
E09000029,sutton,2000-12-01,22019,,26891,25,180485,78000.0,,,1
E09000030,tower hamlets,2000-12-01,28445,,47253,3,197133,152000.0,,,1
E09000031,waltham forest,2000-12-01,19776,,22009,9,221296,74000.0,,,1
E09000032,wandsworth,2000-12-01,22840,,26862,7,267695,127000.0,,,1
E09000033,westminster,2000-12-01,25951,,40903,7,196478,616000.0,,,1
E12000001,north east,2000-12-01,17430,,19560,4,2543421,1069000.0,,,0
E12000002,north west,2000-12-01,17863,,20670,8,6774223,3196000.0,,,0
E12000003,yorkshire and the humber,2000-12-01,17503,,20018,7,4958609,2360000.0,,,0
E12000004,east midlands,2000-12-01,17352,,20144,13,4168076,1995000.0,,,0
E12000005,west midlands,2000-12-01,17812,,20631,9,5269626,2588000.0,,,0
E12000006,east,2000-12-01,19020,,22424,15,5374972,2621000.0,,,0
E12000007,london,2000-12-01,24204,,33000,9,7236712,4618000.0,,,0
E12000008,south east,2000-12-01,19992,,23867,16,7990598,4300000.0,,,0
E12000009,south west,2000-12-01,17847,,20482,15,4917074,2464000.0,,,0
E13000001,inner london,2000-12-01,,,-,,2804949,,,,0
E13000002,outer london,2000-12-01,,,-,,4431763,,,,0
E92000001,england,2000-12-01,19107,,23319,11,49233311,25210000.0,,,0
K02000001,united kingdom,2000-12-01,18848,,22801,,58886065,29735000.0,,,0
K03000001,great britain,2000-12-01,18915,,22908,,57203121,28973000.0,,,0
K04000001,england and wales,2000-12-01,19000,,23131,,52140181,26464000.0,,,0
N92000002,northern ireland,2000-12-01,16599,,19112,,1682944,762000.0,,,0
S92000003,scotland,2000-12-01,18029,,20678,,5062940,2509000.0,,,0
W92000004,wales,2000-12-01,17157,,19507,,2906870,1255000.0,,,0
E09000001,city of london,2001-12-01,39104,,62819,0,7359,339000.0,315,5009,1
E09000002,barking and dagenham,2001-12-01,22323,,26050,3,165654,54000.0,3780,68298,1
E09000003,barnet,2001-12-01,20916,,26068,8,319481,138000.0,8675,130515,1
E09000004,bexley,2001-12-01,20217,,23559,20,218757,75000.0,6429,91606,1
E09000005,brent,2001-12-01,21878,,24164,7,269620,116000.0,4323,101427,1
E09000006,bromley,2001-12-01,15684,,19749,14,296218,114000.0,15013,128717,1
E09000007,camden,2001-12-01,27386,,40033,12,202567,294000.0,2179,93112,1
E09000008,croydon,2001-12-01,20889,,23994,12,335112,156000.0,8650,141300,1
E09000009,ealing,2001-12-01,23862,,29516,13,307276,134000.0,5554,120331,1
E09000010,enfield,2001-12-01,24136,,27605,13,277266,111000.0,8220,112948,1
E09000011,greenwich,2001-12-01,20761,,23932,7,217460,71000.0,5044,95406,1
E09000012,hackney,2001-12-01,24095,,#,1,207246,108000.0,1905,87208,1
E09000013,hammersmith and fulham,2001-12-01,26319,,30968,8,169374,123000.0,1715,77095,1
E09000014,haringey,2001-12-01,20349,,21748,5,221251,75000.0,2960,93638,1
E09000015,harrow,2001-12-01,22960,,26650,13,210044,80000.0,5046,80734,1
E09000016,havering,2001-12-01,17940,,20002,9,224717,88000.0,11446,93792,1
E09000017,hillingdon,2001-12-01,26051,,30465,20,245616,185000.0,11570,99060,1
E09000018,hounslow,2001-12-01,22853,,28795,16,215976,150000.0,5659,85810,1
E09000019,islington,2001-12-01,28323,,44989,6,179387,168000.0,1486,83244,1
E09000020,kensington and chelsea,2001-12-01,24979,,32475,9,162199,149000.0,1238,83751,1
E09000021,kingston upon thames,2001-12-01,21427,,27219,18,149045,82000.0,3726,62474,1
E09000022,lambeth,2001-12-01,24019,,30242,8,273372,130000.0,2725,120390,1
E09000023,lewisham,2001-12-01,21990,,24850,6,254336,75000.0,3532,108964,1
E09000024,merton,2001-12-01,21014,,25615,15,191106,81000.0,3762,80789,1
E09000025,newham,2001-12-01,21054,,27763,3,249411,79000.0,3857,93390,1
E09000026,redbridge,2001-12-01,21106,,24321,10,241893,82000.0,5644,93989,1
E09000027,richmond upon thames,2001-12-01,23799,,29854,19,174311,85000.0,5876,78411,1
E09000028,southwark,2001-12-01,27114,,29423,4,256712,190000.0,2991,107119,1
E09000029,sutton,2001-12-01,22972,,25235,16,181461,77000.0,4385,77701,1
E09000030,tower hamlets,2001-12-01,31232,,55045,3,201090,167000.0,2158,80225,1
E09000031,waltham forest,2001-12-01,21245,,23023,8,222015,69000.0,3881,91992,1
E09000032,wandsworth,2001-12-01,22054,,25861,8,271742,124000.0,3522,120744,1
E09000033,westminster,2001-12-01,26829,,41566,9,203329,612000.0,2203,101213,1
E12000001,north east,2001-12-01,17844,,20103,5,2540090,1075000.0,,,0
E12000002,north west,2001-12-01,18567,,21594,9,6772985,3259000.0,,,0
E12000003,yorkshire and the humber,2001-12-01,18270,,20875,9,4976643,2400000.0,,,0
E12000004,east midlands,2001-12-01,18291,,20932,14,4189622,2011000.0,,,0
E12000005,west midlands,2001-12-01,18756,,22024,10,5280727,2609000.0,,,0
E12000006,east,2001-12-01,19978,,23615,17,5400463,2654000.0,,,0
E12000007,london,2001-12-01,25215,,35140,9,7322403,4580000.0,159471,3090402,0
E12000008,south east,2001-12-01,20907,,25259,18,8023449,4299000.0,,,0
E12000009,south west,2001-12-01,18465,,21524,17,4943364,2543000.0,,,0
E13000001,inner london,2001-12-01,,,-,,2859375,,32796,1255102,0
E13000002,outer london,2001-12-01,,,-,,4463028,,126676,1835300,0
E92000001,england,2001-12-01,19997,,24505,13,49449746,25430000.0,13303728,21206812,0
K02000001,united kingdom,2001-12-01,19722,,23925,,59113497,30056000.0,,,0
K03000001,great britain,2001-12-01,19779,,24035,,57424178,29283000.0,,,0
K04000001,england and wales,2001-12-01,19898,,24292,,52359978,26702000.0,,,0
N92000002,northern ireland,2001-12-01,17529,,20131,,1688838,773000.0,,,0
S92000003,scotland,2001-12-01,18610,,21523,,5064200,2581000.0,,,0
W92000004,wales,2001-12-01,18018,,20161,,2910232,1272000.0,,,0
E09000001,city of london,2002-12-01,39750,,56450,1,7280,344000.0,315,5117,1
E09000002,barking and dagenham,2002-12-01,24813,,26653,3,166357,52000.0,3780,68526,1
E09000003,barnet,2002-12-01,23112,,30210,13,320552,135000.0,8675,130801,1
E09000004,bexley,2002-12-01,21101,,23517,23,219123,79000.0,6429,91908,1
E09000005,brent,2002-12-01,21350,,24071,8,269871,116000.0,4323,102828,1
E09000006,bromley,2002-12-01,16635,,21513,15,296668,119000.0,15013,128974,1
E09000007,camden,2002-12-01,27432,,34486,14,203972,287000.0,2179,93884,1
E09000008,croydon,2002-12-01,22675,,25815,13,335415,149000.0,8650,141424,1
E09000009,ealing,2002-12-01,24542,,29470,15,309242,133000.0,5554,120590,1
E09000010,enfield,2002-12-01,24654,,26835,14,280745,104000.0,8220,114131,1
E09000011,greenwich,2002-12-01,21846,,23853,7,221476,73000.0,5044,95972,1
E09000012,hackney,2002-12-01,24582,,32321,3,210961,108000.0,1905,88557,1
E09000013,hammersmith and fulham,2002-12-01,28012,,37855,10,171989,119000.0,1715,77287,1
E09000014,haringey,2002-12-01,21972,,23632,5,224474,75000.0,2960,94321,1
E09000015,harrow,2002-12-01,23176,,26303,12,212336,80000.0,5046,80963,1
E09000016,havering,2002-12-01,16123,,19520,5,225054,91000.0,11446,94194,1
E09000017,hillingdon,2002-12-01,26159,,30463,28,247063,182000.0,11570,99328,1
E09000018,hounslow,2002-12-01,24399,,32582,20,216888,136000.0,5659,86521,1
E09000019,islington,2002-12-01,33497,,54080,6,180118,169000.0,1486,84255,1
E09000020,kensington and chelsea,2002-12-01,26649,,35481,9,163827,140000.0,1238,83819,1
E09000021,kingston upon thames,2002-12-01,22575,,29702,18,149642,79000.0,3726,62621,1
E09000022,lambeth,2002-12-01,24952,,31630,10,273041,137000.0,2725,121455,1
E09000023,lewisham,2002-12-01,23254,,25909,7,253662,79000.0,3532,109435,1
E09000024,merton,2002-12-01,22429,,27052,15,190561,77000.0,3762,80602,1
E09000025,newham,2002-12-01,21420,,24900,5,255282,74000.0,3857,94609,1
E09000026,redbridge,2002-12-01,22133,,24512,13,244273,83000.0,5644,94682,1
E09000027,richmond upon thames,2002-12-01,23311,,30680,23,175441,80000.0,5876,78676,1
E09000028,southwark,2002-12-01,28062,,30906,4,256269,166000.0,2991,107540,1
E09000029,sutton,2002-12-01,23311,,25965,19,181265,73000.0,4385,77734,1
E09000030,tower hamlets,2002-12-01,31168,,49998,3,207031,160000.0,2158,82185,1
E09000031,waltham forest,2002-12-01,21799,,23817,11,223776,70000.0,3881,92409,1
E09000032,wandsworth,2002-12-01,23720,,27665,10,274917,127000.0,3522,121620,1
E09000033,westminster,2002-12-01,28879,,43576,10,208100,598000.0,2203,103124,1
E12000001,north east,2002-12-01,18076,,20798,7,2540600,1101000.0,,,0
E12000002,north west,2002-12-01,19234,,22738,11,6784880,3325000.0,,,0
E12000003,yorkshire and the humber,2002-12-01,18863,,21805,11,5000111,2441000.0,,,0
E12000004,east midlands,2002-12-01,19125,,22065,15,4221753,2022000.0,,,0
E12000005,west midlands,2002-12-01,19225,,22571,13,5301243,2616000.0,,,0
E12000006,east,2002-12-01,20495,,24434,19,5432688,2699000.0,,,0
E12000007,london,2002-12-01,26467,,35739,11,7376671,4491000.0,159471,3110090,0
E12000008,south east,2002-12-01,21940,,26691,20,8045192,4363000.0,,,0
E12000009,south west,2002-12-01,19233,,22706,19,4976129,2571000.0,,,0
E13000001,inner london,2002-12-01,,,-,,2890923,,32796,1267207,0
E13000002,outer london,2002-12-01,,,-,,4485748,,126676,1842883,0
E92000001,england,2002-12-01,20706,,25542,15,49679267,25628000.0,13303728,21353516,0
K02000001,united kingdom,2002-12-01,20376,,24911,,59365677,30266000.0,,,0
K03000001,great britain,2002-12-01,20435,,25016,,57668143,29477000.0,,,0
K04000001,england and wales,2002-12-01,20562,,25301,,52602143,26906000.0,,,0
N92000002,northern ireland,2002-12-01,18325,,21225,,1697534,789000.0,,,0
S92000003,scotland,2002-12-01,19167,,22317,,5066000,2570000.0,,,0
W92000004,wales,2002-12-01,18189,,20951,,2922876,1278000.0,,,0
E09000001,city of london,2003-12-01,41795,,64272,8,7115,344000.0,315,5126,1
E09000002,barking and dagenham,2003-12-01,25358,,27792,5,166210,55000.0,3780,68837,1
E09000003,barnet,2003-12-01,23828,,30518,16,321802,138000.0,8675,131883,1
E09000004,bexley,2003-12-01,22247,,24723,21,220016,77000.0,6429,92223,1
E09000005,brent,2003-12-01,23018,,29790,10,268323,119000.0,4323,103846,1
E09000006,bromley,2003-12-01,19042,,25474,20,297253,125000.0,15013,129314,1
E09000007,camden,2003-12-01,30002,,38106,19,204254,279000.0,2179,94460,1
E09000008,croydon,2003-12-01,22838,,26920,14,335919,153000.0,8650,141819,1
E09000009,ealing,2003-12-01,24349,,30117,15,308108,137000.0,5554,120922,1
E09000010,enfield,2003-12-01,22463,,25595,16,281835,111000.0,8220,115274,1
E09000011,greenwich,2003-12-01,23600,,26002,12,224303,76000.0,5044,96746,1
E09000012,hackney,2003-12-01,25149,,31035,6,212405,98000.0,1905,90216,1
E09000013,hammersmith and fulham,2003-12-01,29831,,35226,16,171510,125000.0,1715,77609,1
E09000014,haringey,2003-12-01,22422,,24551,9,225027,78000.0,2960,95142,1
E09000015,harrow,2003-12-01,22796,,27980,16,213728,83000.0,5046,81524,1
E09000016,havering,2003-12-01,18250,,21167,8,225248,92000.0,11446,94553,1
E09000017,hillingdon,2003-12-01,26774,,30875,34,248054,182000.0,11570,99766,1
E09000018,hounslow,2003-12-01,26019,,33322,20,216498,135000.0,5659,87433,1
E09000019,islington,2003-12-01,33579,,49632,7,180899,177000.0,1486,85984,1
E09000020,kensington and chelsea,2003-12-01,26213,,35812,15,165268,133000.0,1238,83965,1
E09000021,kingston upon thames,2003-12-01,23813,,32569,19,149683,79000.0,3726,62868,1
E09000022,lambeth,2003-12-01,26034,,32702,12,272195,140000.0,2725,122013,1
E09000023,lewisham,2003-12-01,22069,,25320,8,251936,80000.0,3532,109746,1
E09000024,merton,2003-12-01,22959,,30607,15,189298,77000.0,3762,80475,1
E09000025,newham,2003-12-01,22792,,26461,2,256224,77000.0,3857,95491,1
E09000026,redbridge,2003-12-01,23407,,26086,9,247412,84000.0,5644,95500,1
E09000027,richmond upon thames,2003-12-01,25549,,29463,24,177182,84000.0,5876,78957,1
E09000028,southwark,2003-12-01,29307,,32241,7,255242,178000.0,2991,108467,1
E09000029,sutton,2003-12-01,24455,,27147,25,181267,72000.0,4385,77856,1
E09000030,tower hamlets,2003-12-01,34281,,55530,5,208651,164000.0,2158,83659,1
E09000031,waltham forest,2003-12-01,22918,,25374,12,224115,70000.0,3881,92700,1
E09000032,wandsworth,2003-12-01,24299,,29446,18,276828,127000.0,3522,122821,1
E09000033,westminster,2003-12-01,29254,,43694,11,211009,605000.0,2203,104540,1
E12000001,north east,2003-12-01,18228,,21359,12,2540461,1113000.0,,,0
E12000002,north west,2003-12-01,19916,,23261,14,6814660,3353000.0,,,0
E12000003,yorkshire and the humber,2003-12-01,19659,,22694,15,5026314,2498000.0,,,0
E12000004,east midlands,2003-12-01,19847,,22817,19,4255080,2050000.0,,,0
E12000005,west midlands,2003-12-01,19786,,23132,16,5325475,2636000.0,,,0
E12000006,east,2003-12-01,21511,,25609,23,5474133,2728000.0,,,0
E12000007,london,2003-12-01,27455,,37416,13,7394817,4554000.0,159471,3131738,0
E12000008,south east,2003-12-01,22843,,27576,23,8087924,4309000.0,,,0
E12000009,south west,2003-12-01,20000,,23715,21,5006653,2597000.0,,,0
E13000001,inner london,2003-12-01,,,-,,2898563,,32796,1279240,0
E13000002,outer london,2003-12-01,,,-,,4496254,,126676,1852498,0
E92000001,england,2003-12-01,21500,,26462,18,49925517,25838000.0,13303728,21513391,0
K02000001,united kingdom,2003-12-01,21124,,25818,,59636662,30548000.0,,,0
K03000001,great britain,2003-12-01,21200,,25939,,57931738,29747000.0,,,0
K04000001,england and wales,2003-12-01,21359,,26225,,52863238,27147000.0,,,0
N92000002,northern ireland,2003-12-01,18502,,21610,,1704924,801000.0,,,0
S92000003,scotland,2003-12-01,19799,,23080,,5068500,2600000.0,,,0
W92000004,wales,2003-12-01,19130,,21837,,2937721,1309000.0,,,0
E09000001,city of london,2004-12-01,43347,,66628,14,7118,332000.0,315,5263,1
E09000002,barking and dagenham,2004-12-01,26089,,29088,14,165610,53000.0,3780,68899,1
E09000003,barnet,2004-12-01,,,30795,20,323723,135000.0,8675,132856,1
E09000004,bexley,2004-12-01,20946,,24617,30,220917,85000.0,6429,92950,1
E09000005,brent,2004-12-01,23323,,25416,14,268335,119000.0,4323,104454,1
E09000006,bromley,2004-12-01,21192,,27617,23,297307,126000.0,15013,129809,1
E09000007,camden,2004-12-01,30510,,38595,25,207341,278000.0,2179,94841,1
E09000008,croydon,2004-12-01,24371,,28816,13,337134,153000.0,8650,142177,1
E09000009,ealing,2004-12-01,26722,,31153,15,310073,136000.0,5554,121428,1
E09000010,enfield,2004-12-01,27414,,31068,24,282217,110000.0,8220,116338,1
E09000011,greenwich,2004-12-01,25387,,27369,19,227190,77000.0,5044,98182,1
E09000012,hackney,2004-12-01,26687,,31862,12,213581,96000.0,1905,91588,1
E09000013,hammersmith and fulham,2004-12-01,29830,,37273,20,172083,128000.0,1715,78198,1
E09000014,haringey,2004-12-01,23481,,26260,14,226472,78000.0,2960,95714,1
E09000015,harrow,2004-12-01,24750,,29745,19,216267,81000.0,5046,82053,1
E09000016,havering,2004-12-01,18240,,21505,16,225769,92000.0,11446,95182,1
E09000017,hillingdon,2004-12-01,28003,,31685,27,248691,196000.0,11570,100306,1
E09000018,hounslow,2004-12-01,27457,,34015,17,219440,130000.0,5659,88608,1
E09000019,islington,2004-12-01,30410,,40812,11,180831,179000.0,1486,87263,1
E09000020,kensington and chelsea,2004-12-01,26846,,37784,18,165752,131000.0,1238,84363,1
E09000021,kingston upon thames,2004-12-01,23708,,30786,18,151055,84000.0,3726,63405,1
E09000022,lambeth,2004-12-01,27186,,37154,16,274262,142000.0,2725,122819,1
E09000023,lewisham,2004-12-01,25238,,26340,10,252455,79000.0,3532,110808,1
E09000024,merton,2004-12-01,23208,,30224,20,188908,91000.0,3762,80333,1
E09000025,newham,2004-12-01,,,29224,6,254434,81000.0,3857,96805,1
